OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,218590,272451,185857,145980,101491
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,176039,285269,191613,146627,112484
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,248309,302918,204705,168155,110346
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,220795,274781,188019,151289,93459
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,253311,359809,230165,183895,120227
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,198452,263752,169180,136176,99754
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,209614,277562,187045,148506,104471
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,170409,233793,147720,117841,83234
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,211997,262049,181927,143381,99476
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,170602,275699,185970,142076,109123
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,242858,293426,202060,166586,110072
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,230337,284461,197601,160691,97751
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,225395,317704,205609,164595,109060
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-10-01T00:00:00,2021-10-31T23:59:59,Month,2021-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,187773,247323,161743,129873,95313
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-09-01T00:00:00,2021-09-30T23:59:59,Month,2021-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,205574,271348,183282,146544,103796
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-09-01T00:00:00,2021-09-30T23:59:59,Month,2021-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,167798,230218,145233,115936,83057
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-09-01T00:00:00,2021-09-30T23:59:59,Month,2021-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,203389,251407,174402,137544,95953
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-09-01T00:00:00,2021-09-30T23:59:59,Month,2021-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,169946,273908,185031,141812,108944
